id,text kotor,Sentiment
0,"@diankrtn Mangkanya biar gak goblok itu rajin baca , dasar kadrun batangan goblok malah dipupuk.

news.republika.co.id/berita/ruugm04?",Yes
1,"@AnakLolina2 @Kanjeng2022 Itulah akibatnya jika berteman dengan kadrun,... jadi nasdrun. Khas kadrun, Jika temannya, maka salah pun dibela.",Yes
2,Penyusupan berhasil? https://t.co/hpB93R0S83,Yes
3,"@dennyindrayana Nafsumu mengalahkan akal sehatmu den, mendadak kadrun ?????????? https://t.co/Q4AfhC2EWK",Yes
4,"@OposisiCerdas yg cegal siapa...???
fitnah nya gk habis2...!!!",Yes
5,Katanya tanpa apbn? https://t.co/2NT9zhPkBg,Yes
6,"@dimaspram96 @Obay_Kusut1981 @IsminovZubeir Isu itu bagai bau kentut.. suapa yg kentut siapa yg di tuduh, eh ternyata yg nuduh yg kentut..",Yes
7,Rata rata bani kadrun... https://t.co/L7UD0UBksL,Yes
8,"@BosPurwa alhamdulillah ada cina kapir rasa kadrun, ta'bil drun ?? https://t.co/Ahmfu68IhW",Yes
9,@Trending_Issue Mantap. Maki2 aja tuh kadrun pekok,Yes
10,@AIM393284865068 @Relawananies Apa hukum penistaan agama sudah berkeadilan? Bahkan setelah Ahok selesai menjalankan hukuman nya si Buni Yani Keparat baru mengakui meng edit Vidio nya. Itulah Kadrun kumpulan bangsat.,Yes
11,"@AndiSinulingga @erickthohir Korupsi kok diserang ?Lah semua penegak hukum sdh bergerak kok,dan ini bukan korupsi Sendiri.Paham?8 Triliun Bro,ini pasti seluruh tim dr capres Kadrun ada yg turut serta menjalankan siasat Korupsi ini.Mana ada sih PILGUB saja",Yes
12,@idtodayco kadrun makin mata gelap... mengarang bebas... dipikir rakyat belon cerdas,Yes
13,@budimandjatmiko Kadrun pekok kang hoax,Yes
14,@Dennysiregar7 Ahlak ahlak kadrun munafik,Yes
15,@74f4rKM50 @OposisiCerdas Kalau ga keburu ada polisi pasti diperkosa Kadrun nih !,Yes
16,@Bambangmulyonoo @ReflyHZ COKRO  TV    IDOLA  PENGASONG  KADRUN,Yes
17,@WidadiHandoyo @aniesbaswedan @PKSejahtera kadrun senangnya ya mimpi (doang),Yes
18,"@aniesbaswedan @PKSejahtera kalo @nasdem dan @PDemokrat mikir bisa curi suara pembenci jokowi, fpi, hti, kadrun dari @PKSejahtera... alangkah naifnya",Yes
19,"@HRMalik12 @logikapolitikid @ridwankamil @aniesbaswedan Bukannya RK bagian dari kadrun masih ingat waktu kejadian kebakaran di_Bandung tempo hari
RK bilang dinegri Wakanda",Yes
20,"@bachrum_achmadi wkwkwk kadrun tolol, emg JK hrs jadi acuan? JK cuma jadi acuan kadrun2 goblok aja",Yes
21,@sarah_enjeuLL @NasDem @KejaksaanRI @aniesbaswedan Metro Tipu sejak gabung dgn kadrun auto jadi tv tkg fitnah,Yes
22,@ThejavaRio @AbuabuMerpati @belaIndonesiaID @msaid_didu @ReflyHZ Ciri kadrun begini umpatannya sprti orang ga ada akhlak??????,Yes
23,"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya namanya juga kadrun, klo gak fitnah gak makan",Yes
24,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkw kadrun menghibur diri sendir, barusan habis dihina2 dan ketauan pengecutnya sama bang @Amran_bin_Ali https://t.co/yWnJK63sAd",Yes
25,"Nasehat untuk Kadrun
youtube.com/shorts/wC4sKCF?",Yes
26,@msaid_didu @ReflyHZ Yg ikut pool  akun dr bngsa kadrun lgi ??????,Yes
27,"@DS_yantie Ini contoh tipikal kadrun mau mencubitvtp ga mau dicubit,cemenk.",Yes
28,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV alhamdulillah toket kadrun nempel , toket barokah drun, halalan toyiban ?? https://t.co/HYfTtCSPDr",Yes
29,"@BBerizik Bani kadal pea, bisanya ngurusi org sendirinya maniac jg,  dasar kadrun tolol",Yes
30,@corokandangrusa @yunartowijaya Kadrun emang top..?? apa pun yg di lakukan presiden tetap salah di mata dia.. https://t.co/2o04a8NFnF,Yes
31,@P3n99u94t Boleh numpang b ol?,Yes
32,@entit_usdiati halooooo taraaaaaaa @ridwankamil,Yes
33,@OposisiCerdas Si anus yaman ya om wo,Yes
34,@geloraco Jangan nyindir imam cabul si junjungan KADRUN212 goblog212pekok chat mesum,Yes
35,"@YanHarahap Dasar Kader Mangkrak !

Nanya'nya ke Mantan Napi Korupsi anas Urbaningrum 'jangan Nanya ke KadRun !

Jokowi dilantik 2014
Hutang SBY 2700 Trilyun
dengan bunga pertahun 250 Trilyun !

Proyek Hambalang Sengaja ngga di terusin !
Biar pada inga in",Yes
36,@masiswara @YudhistiraSaja @ch_chotimah2 @ganjarpranowo Kok ganjar ikut2 kadrun ya,Yes
37,"@Leonita_Lestari Anies kena hukum karma ahok,dan NASDRUN kena getahnya semua akan melihat dan merasakan pada waktunya",Yes
38,@Leonita_Lestari Berawal dari @NasDem menjadi nasdrun212 itulah jalan menuju jurang kehancuran,Yes
39,"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya Haha baru Tau ya, begitulah rasanya saat dulu metro TV mendukung rezim.. kejamnya nyer",Yes
40,@Leonita_Lestari Resto trasi bau busuk wok ewok,Yes
41,@sarah_enjeuLL @NasDem @KejaksaanRI @aniesbaswedan Kadrun dua2nya ya...?,Yes
42,@KAMEK_AWET @Miduk17 Dia korupsi apa ya Klo anda tau..,Yes
43,"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV takut dia nunjukin mukanya, takut bonyok dia kaya ratu hoax kadrun yg ini ?? https://t.co/3DY2RwWX6R",Yes
44,@herman_basti @Hasbil_Lbs Khas Kadrun..kalah pukulin...klo perlu bunuh n telanjangin...,Yes
45,@langitan99 @Verraagustian_ Sampah sampah,Yes
46,@Obay_Kusut1981 Ke firza jg bs yg pernah berpasangan dgn si jijik ngacengan,Yes
47,@Obay_Kusut1981 Ke RIJIQ KITY OM,Yes
48,@Rintart_bluhers @aniesbaswedan @PKSejahtera Berarti udh ngakuin donk... Klo PKS nnti bakal kalah.. Awokawokawok...,Yes
49,@EndarTo44857464 @aniesbaswedan @PKSejahtera Dan juga merubah sistem jdi khilafuck... Itu agenda utama mereka...,Yes
50,@tukangaduayam @kangdede78 Kadrun lgsg ndlesep liat arak arakan tiem Garuda,Yes
51,@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkkw kadrun memantau ??,Yes
52,@RKianSantang99 @aniesbaswedan @PKSejahtera Jolam jolim taik babi...,Yes
53,@PuteriDL @RKianSantang99 @aniesbaswedan @PKSejahtera Take a beer..... Awokawokawok... https://t.co/eSyc2JNnyE,Yes
54,"@DsSupriyady @geloraco Iyyaah...Tangkapin KORUPTOR nya Kadrun....Beraniii bener niyy si Jokowi

Mentri Nasdem Maling 8Trilyuuunn Rupiahh????????????....di cyduk sama Jokowi Jahat tuhh????????????",Yes
55,@pipihfiles @dennyindrayana Kenapa gak harus anies?? Karena bacod nya sulit dicerna sebagian besar org normal.. yg bisa cerna bacod nya cuma org abnormal... Atau org yg pura2 bisa mencerna.... Awokawokawok https://t.co/J8y9x5MBZA,Yes
56,@akualcade Ngupil pake jari telunjuk kiri sampai dapet,Yes
57,@pipihfiles @dennyindrayana Kenapa gak harus anies??  ?? https://t.co/eecaqDfVyr,Yes
58,@pipihfiles @dennyindrayana Kenapa gak harus anies?? https://t.co/4mKUKTPqJF,Yes
59,@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV wkwkwk kadrun terpojok,Yes
60,@democrazymedia Tp kok pendukungnya benci kadrun???,Yes
61,"@EtySusanty8 @Ayang_Utriza @dennyindrayana Berarti sama juga donk dengan pak ganjar yg dituduh sama kadrun terlibat uang e-KTP, gak ada hasil persidangan bersalah dan terlibat.. Kenapa kadrun selalu menuduh.??",Yes
62,"@DJ_Luvly @yunartowijaya Tidak terbukti dipersidangan , anjeeeeng.... Awokawokawok",Yes
63,"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV mana berani kadrun bang, kan kadrun2 pengecut ??",Yes
64,@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV dia ngertinya bahasa kadrun ??,Yes
65,@Aguscah88555821 @BudiMario007 @IrwanAj63719113 @TukangRitwiit @virza1 @benk_setia @Djoe31915814 @BrabarZeto @Kadrun80574809 @BudhiIbrahim @PutraBachtiar9 @_mastito @dinarArunika @MansurU71169345 @Didinzahrudin1 @bayarpajaklah @Lignasian Mari kita kawal n,Yes
66,@msaid_didu @ReflyHZ Yg nonton podnya ken kadrun semua ya wajar drun,Yes
67,"5 Alasan Anies Yohanes Rasyid BaswEDAN tidak mungkin jadi presiden...
1...Kadrun imigran Yaman.
2...tidak punya rasa nasionalisme.
3...cuma pintar ngomong Pemberi Harapan Palsu.
4...didukung oleh kaum radikal pengusung khilafah intoleran.
5...NON PRIBUMI.",Yes
68,"Proyek BTS 4G BAKTI memang di desain untuk dikorupsi, 6 sudah jadi tersangka, 11 lainnya gelisah mulai kebakaran jenggot.
Kejagung selalu didepan.. ?? https://t.co/K9rPP2TY4q",Yes
69,@marlina_idha https://t.co/8z0HDu2K64,Yes
70,@m_yanto_baemo ??,Yes
71,MUI prihatin atas krisis kemanusiaan di Yaman...ayo para kadrun Yaman adakan donasi untuk negeri leluhurmu jgn diam saja...!!!,Yes
72,@emyr_za @CNNIndonesia Kadrun tdk makan babi,Yes
73,@__TukangNgibul Emg udah ketauan..akun2 Kadrun itu rata2 buzzer bayaran Anis.. OTAK tdk diperlukan,Yes
74,@greentea290491 @geloraco Kita buktikan saja negara mau maju harus berkorban dan berpikir kedepan ...polapikir kadrun sampah,Yes
75,"@P3n99u94t Itu mungkin Jatim bagian Kadrun...
Wkwkw",Yes
76,@__TukangNgibul Halloooo.. Profil lo ga ada tweet lo pribadi.. Lo pasti anakAnjing Piaraan KADRUN.. HAYOO..NGAKU..MALINGLO,Yes
77,"@NephiLaxmus @Metro_TV Dunia kebolak-balik, kadrun jadi seneng nonton Metro Tipu, cebong beralih nonton tvOon... ??",Yes
78,@StefanAntonio__ Panik ga ya ?? https://t.co/H3nUdRwTpj,Yes
79,"@_Dauph1ne_ @ajies4ra @Bandit_cengeng Harusnya akun alter pake buat lawan kadrun bukanya seperti ini,",Yes
80,@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV klo yg ini Cina kadrun ya? yg penting bisa ta'bil wkwkwk https://t.co/mrCRHgiZdC,Yes
81,"@StefanAntonio__ Yes,sama https://t.co/0GO2bQb9n3",Yes
82,"@HidayatNatari Jadi kadrun itu berat,, harus nyebar hoax tiap hari",Yes
83,@StefanAntonio__ Yes https://t.co/1aZebSoZBy,Yes
84,@bianca01403 Kadrun tolol mau tipu2 ???????? https://t.co/h1vGTWM6zV,Yes
85,"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV kadrun culun, pasti jidatnya ada jendolan hitam dan jembutnya pindah ke dagu kayak foto ini wkwkwk https://t.co/oMvTLXWApn",Yes
86,@UbedilahB Ubedilah Kadrun????????,Yes
87,@lurkingcorsa @Permaidi68 @BTRxZaflaabaeVL @__TukangNgibul @Asuhan1nfinitE @cobeh2022 @NobowoNonowo KADRUN 90% Suka Melonte.. Aplgi lo @lurkingcorsa,Yes
88,"@dimaspram96 @Herohero_82 @belaIndonesiaID @Obay_Kusut1981 Dikitý kadrun
Dikitý kadrun
Ngerasa junjungan lu di sentil
Langsung reply pake embelý kadrun.
Orang yg ga sepaham ama lu, lu cap kadrun.
Manusia sampah kayaklo gini yg ngerusak nilai demokrasi.",Yes
89,"Kasian para #Kadrun habib dari Yaman dan timur tengah yg numpang cari makan di RI,  punya tuhan Alloh tapi lemah, selalu dibela... 
Walah.... drun.... Kadrun.... Kalau mau cari serakah duniawi, jgn bawa2 Tuhan....  Kasian si Awoh https://t.co/ZRe6TFd67t",Yes
90,@kadrun_bangsatt Gayane pig pig ??,Yes
91,@Tulus_nih70 Keluarin fatwa nya dulu dong anwar abbas kadrun arab pesek. Gak ada cukong nya yak ? Naga2nya duit galangan dana ente tilep pastinya.,Yes
92,@P3n99u94t Tuyul ancol kotbah ????????,Yes
93,@bianca01403 Kalian pikir nu Ormas yg bisa kalian bodohi kayak anjing2 ini????? https://t.co/csaUv6nybY,Yes
94,@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV Dia kadrun cemen yg menggemaskan https://t.co/iMEHMqUYih,Yes
95,@kangdede78 @NasDem @adityawilly sangat menjijikkan ya ocehannya alias bacotnya pecundang weleh. 2024 nasdrun harus tumbang di jurang kegelapan. KADRUN #KoalisiDelapanTriliun,Yes
96,"@Syarman59 @KPK_RI @firlibahuri @mohmahfudmd KADRUN Korupsi msk Politik.. Kriminal jga dmsukin ke Pokitik.. 
KADRUN emg Bin Atang..",Yes
97,@el4n9bint4n9 Gub aja idiot https://t.co/DqswepTQVO,Yes
98,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV iya mending sesama kadrun, selain bisa membantu memberi makan, juga bisa membantu @jagokan57083101 geli2 enak ??",Yes
99,"Dana turun 11 triliun digarong 8 triliun dan barang tidak ada wujudnya, ni plate emang anjing bangsat yg wajib digantung kepalanya diatas tower nasdem. 
katadata.co.id/ira/berita/646?",Yes
100,@Tulus_nih70 Nilah kadrun pesek yg jd penjilat kaum yaman.,Yes
101,@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwkw kadrun jantan lagi minum obat kuat atau sari rapet drun? eh sari rapet mah buat @jagokan57083101,Yes
102,@WagimanDeep212_ @dwioktariyadi Klou ada anti ormas !..??????,Yes
103,@_Dauph1ne_ @LemhannasRI @DivHumas_Polri @CCICPolri Iya demi capres nya rela sebar hoak melebihi kadrun,Yes
104,@Bandit_cengeng @ajies4ra Kadrun+,Yes
105,"@WongJowo67 @narkosun @ganjarpranowo Si anus cuma disambut bupatinya..Krn dari Nasdem dan dirumah pribadinyamm gak nyala masyarakat,Krn sdh merasa gakan ada masyarakat yg nyambut  ?????? https://t.co/0lBf22ZDc4",Yes
106,@wahyonoisnaeni1 @zhuLL_Thomadio @yaniarsim @PdiperjuanganP @KPK_RI @mohmahfudmd Biarin aja bro .. gue lebih suka kalo kadrun pd keliatan tambah bego,Yes
107,"@KrisyantoOni Eh celeng kribo lu udah investigasi belum ke wadas??? Biasanya lu kan suka investigasi untuk buktikan sendiri, sekalian lu bs dapat makan dan kopi gratisan seperti kesukaanmu... Bangke!!!! https://t.co/3kl4LmwZJv",Yes
108,@_Dauph1ne_ @LemhannasRI @DivHumas_Polri @CCICPolri Kadrun +,Yes
109,@gibran_tweet Untung bkn sy anak pak Jokowi mas wali..,Yes
110,"@NasDem Dan gak perlu katakan ada tekanan politik didalamnya seperti yg ketua DPP kalian katakan.. obyektif dan jalani semua dgn ketentuan hukum yg sdh ada.. klo gak merasa terlibat,katakan maaf dan pecat sbg kader dan pengurus partai..beres",Yes
111,"Preeeeettt mutualan ma akun tukang hoax gini..
Ga gini2 amat x jd buzzer..
Demi belain capres lo, sampe bikin hoax berjemaah.. dipercaya pula??
Kirain akun kadrun.. taunya..beuuuuh!!!
Gw unfol, tukang hoax!
@LemhannasRI 
@DivHumas_Polri 
@CCICPolri",Yes
112,"@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwk kadrun mana berani ketemu sendiri, nyalinya seupil kayak jumlah kadrun di Indonesia, ya kan @jagokan57083101 https://t.co/rslx5QZy39",Yes
113,"@setopankahiji @logikapolitikid @ridwankamil @aniesbaswedan Namanya juga kadrun Goblokkkk!

Senyumin ajaa..",Yes
114,@bintangku206 @BWbambangPtk @ruhutsitompul Lha emang elo kadrun. Dari dulu topiknya selalu dibawah ini??oh ya gw mo nanya gmn rasanya jadi pecundang??? https://t.co/mKkfJivKzZ,Yes
115,"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya Dajjal memang penipu ??
Kaki tangan dajjal itu kadrun",Yes
116,"... Koruptor di bela oleh KADRUN tumben biasanya dibully ?????? ... 

.
.
.
pastilah cecunguk ini jelas lagi bela donatur nya ??????",Yes
117,@NyaiiBubu Org utan ke kota,Yes
118,"Bangsa Indonesia sangat bersyukur memiliki KH. Imaduddin Utsman al-Bantanie, Sang Pencerah dan Pemersatu Bangsa Indonesia..!",Yes
119,@HidayatNatari Kadrun pd mengkhayal.. ntr klu kalah bilangnya di curangi. Lagu lama Drun.. ??????,Yes
120,@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwk kadrun ngomongin nyali ??,Yes
121,"@dwi_kurniawanSg @iwandana1 @ganjarpranowo @Dennysiregar7 Org jni gak bisa mikir bedanya mamerin buku sama ngucapin selamat hari buku,, nemang bner smua org klo jd kadrun harus bener"" goblog",Yes
122,@CocotBoros98 @TurnBack2Solo @Amran_bin_Ali @person_sandora @ejanghadian @Kadrun80574809 @PaimoMontok @kadrunmampos @Jkt_Networks3 @AgoesMaulana10 @NawariErika @KangManto123 @ghost65387006 @_25selawe @Fita_Shanty @SimbokeSarah @bobby_risakotta @TsamaraDKI,Yes
123,@wandystjk2 Tp alahkah elegant nya kl gk kait kaitkan dengan kadrun ya,Yes
124,"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV siap2 bang di blok sama kadrun transgender itu, tipikal kadrun klo kalah selalu ngeles atau blokir, contohnya tadi si @jagokan57083101 sdh terpojok lsg ngeles ajak rekan sesama kadrunnya unt kabur, ",Yes
125,"@Adi_8002 Betul banget.
Kirain akun kadrun, ternyata akun NKRI pendukung militan salah satu Paslon.

Hoaxnya melebihi kadrun.
Bisa dipidana itu, memutar balik sejarah",Yes
126,"@AntiPekines @ganjarpranowo ??biasa min! Ibarat kata udah dicoblangi sama cwek Bahenol Bohai!
istri sah jangankan di urus, dilirik aja ga bakal! Yg ngejodohin ga da otak! Udh tau org msih ada bini, masih aja dicoblangin!
Dia kira kadrun, yg boleh2 aja ber",Yes
127,@MayaA62580468 Si bewok gede bacooooot,Yes
128,"@ajies4ra Mulai kesetanan nih hoaxnya.
Gw pikir tadi akun kadrun, ternyata NKRI.

Lbh parah dari kadrun hoaxnya",Yes
129,"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV dua ekor kadrun ygnsatu betina @jagokan57083101 dan yg satu kadrun transgender @TurnBack2Solo lari terkaing2 bang, si transgender kehabisan kata2, klo yg betina mulutnya lagi sibuk melayani pelangga",Yes
130,@geloraco Pola pikir kadrun itu sangat rumit,Yes
131,@kadrun_bangsatt Menambah Nafsu Merokok ?,Yes
132,@ch_chotimah2 Kadrun itu iblis berbulu domba namanya ??,Yes
133,@dennyindrayana  taraaaaaaaa,Yes
134,@Verraagustian_ @kadrun_bangsatt ??????,Yes
135,"@AkioDad @IpBayoe @dannieliciouss @tvOneNews Nah ini
Nimbrung tapi bego
Ga baca dr awal tiba2 bunyi
Kebiasaan kadrun ????

Uda2
Yg kek lu uda banyak dr kmrn2
Fokus aja noh ke SP ama Anies yg lg belain koruptor ????????",Yes
136,@IInayaturahmah @kadrun_bangsatt ??????,Yes
137,@OposisiCerdas mulai-mulai... bawa2 nasab agama berarti ganjar kadrun dong... malu jelek jelekin arab ngaku2 keturunan arab..,Yes
138,@geloraco Caplin Caplin... Berulah lagi.. geni nih klo kadrun lepas dri kandang,Yes
139,@kadrun_bangsatt Apakah enih d sebut kelapa berjalan ??????,Yes
140,@OposisiCerdas Orang jawa di kadrun kadrun kan ??????????,Yes
141,"@TurnBack2Solo @jagokan57083101 @KompasTV coba tny sama lonte kadrun profesional ini, cara mengangkang yg baik dan benar ?? https://t.co/N7aOdbKqWA",Yes
142,"@RomeoWalker19 Hanya SETAN
yang Membenci Kebaikan !",Yes
143,@ruhutsitompul Partai maling ..capres nya goblok...dari kadrun..goblok lu,Yes
144,"@TurnBack2Solo @jagokan57083101 @KompasTV alhamdulillah drun, mayan kena toketnya kadrun betina ?? https://t.co/rRKK8eD3wl",Yes
145,"Demikian Hal'nya
dengan NasDrun
'Kadernya yang Korupsi
Yang Salah tetap Jokowi
'Kan Bangsat !!!

Sudah Takdir TUHAN
Setan Setan itu
Membenci Kebaikan 

Naudzubillahi Mindzallik https://t.co/AwRtdtOJzm",Yes
146,"@ekowboy2 Sdh tau anis bakal kalah, kadrun rame2 buat narasi penjegalan...gitu saja mainnya dr dulu smp lebaran kuda tiba....
Silahkan rakyat menilai !!
??????",Yes
147,@alisyarief Otak mana otak,Yes
148,@Relawananies ????????...... Kadrun doank yg percaya,Yes
149,@msaid_didu Udah ashar pak tua.. tobat,Yes
150,@Sampeong2 @ch_chotimah2 @ganjarpranowo https://t.co/6h7pgfvFzP,Yes
151,@ch_chotimah2 @ganjarpranowo Nih pake doorprice juga nggak ..?,Yes
152,"@sunset_32023 Masih Ada Orang Orang Baik
di NKRI , bila tidak Menemukan
Maka Berusahalah Menjadi
Salah Satunya

Sesungguhnya
Di Setiap Kebaikan
Ada Balasan
Tanpa Mengharap
atau Meminta Sekalipun 

#BelajarMenjadiLebihBaik
#NKRIbersatu",Yes
153,@KangNanooo @Verraagustian_ Kadrun emang gitu..beriman takut akherat dan paling suci beragama tapi munafik..gimana coba..??????,Yes
154,"@KompasTV Jgn samakan black campaign dgn negative campaign ya.. jgn serampangan anda @aniesbaswedan  mayoritas yg tersebar adalah bukti nyata,bukan fitnah ..tolong bedakan itu..jgn menggiring opini publik utk membuat seolah2 anda terdhzolimi",Yes
155,Yang haram akan jd halal bila org kadrun.,Yes
156,"@lahedom99 Cie cebong babi ngambek ???????? gak cium tangan Kadrun dulu loe?
Gak sopan loe, junjungan loe aja hormat sama kadrun",Yes
157,@sgits1 Laaah emang dia itu kadrun..kadrun sejati,Yes
158,@kadrun_bangsatt https://t.co/McyQX0K7cw,Yes
